"Age-Adjusted Invasive Cancer Incidence Rates by County in Texas"
"Non-Hodgkin Lymphoma, 2018"

County,Population At Risk,Cases,Crude Rate,Age-Adjusted Rate,95% Confidence Interval Lower,95% Confidence Interval Upper
Sterling,1335,~,~,~,~,~
Sutton,3469,~,~,~,~,~
Schleicher,2604,~,~,~,~,~
Archer,8630,~,~,~,~,~
Zavala,10093,~,~,~,~,~
Oldham,1792,~,~,~,~,~
Somervell,9093,~,~,~,~,~
Cochran,2561,~,~,~,~,~
Martin,5233,~,~,~,~,~
Burleson,17655,~,~,~,~,~
Hall,2887,~,~,~,~,~
Motley,1125,~,~,~,~,~
Matagorda,36230,16,44.2,38.7,21.1,65.0
Floyd,5542,~,~,~,~,~
Hutchinson,20922,~,~,~,~,~
Briscoe,1428,~,~,~,~,~
Bailey,7044,~,~,~,~,~
Foard,1130,~,~,~,~,~
Irion,1506,~,~,~,~,~
Trinity,13710,~,~,~,~,~
Eastland,17803,~,~,~,~,~
Reagan,3349,~,~,~,~,~
Delta,5220,~,~,~,~,~
Hudspeth,3294,~,~,~,~,~
Ochiltree,10171,~,~,~,~,~
Kinney,3260,~,~,~,~,~
Karnes,15014,~,~,~,~,~
Reeves,14484,~,~,~,~,~
Waller,53526,~,~,~,~,~
Fisher,3705,~,~,~,~,~
Hardeman,3565,~,~,~,~,~
Polk,48023,18,37.5,28.6,16.1,47.7
Terry,11987,~,~,~,~,~
Crosby,5337,~,~,~,~,~
Sabine,10030,~,~,~,~,~
Crockett,3125,~,~,~,~,~
Victoria,91336,27,29.6,26.0,16.9,38.4
Liberty,86441,22,25.4,25.8,15.9,39.6
Hood,59082,23,38.9,25.5,15.2,40.8
Lipscomb,3238,~,~,~,~,~
Gray,21601,~,~,~,~,~
Willacy,20554,~,~,~,~,~
Maverick,57562,~,~,~,~,~
Orange,84750,25,29.5,24.7,15.8,37.2
De Witt,19812,~,~,~,~,~
Hill,35383,~,~,~,~,~
Lee,17197,~,~,~,~,~
Comal,147255,47,31.9,24.2,17.5,32.7
Angelina,86512,24,27.7,24.1,15.3,36.2
Brown,38087,~,~,~,~,~
Blanco,11006,~,~,~,~,~
Fannin,35079,~,~,~,~,~
Burnet,47196,~,~,~,~,~
Rockwall,99988,24,24.0,23.8,15.0,35.8
Lampasas,21091,~,~,~,~,~
Edwards,1461,~,~,~,~,~
Ellis,180928,43,23.8,23.2,16.7,31.6
Hemphill,3492,~,~,~,~,~
McLennan,255333,64,25.1,23.0,17.6,29.6
Erath,41875,~,~,~,~,~
Winkler,7690,~,~,~,~,~
Montague,19641,~,~,~,~,~
Hockley,21761,~,~,~,~,~
Cass,28924,~,~,~,~,~
Midland,166468,33,19.8,22.3,15.1,31.6
Shackelford,3135,~,~,~,~,~
Palo Pinto,28162,~,~,~,~,~
Haskell,5422,~,~,~,~,~
Rains,11798,~,~,~,~,~
Wilson,48607,~,~,~,~,~
Zapata,13909,~,~,~,~,~
San Patricio,68075,~,~,~,~,~
Kaufman,131252,27,20.6,21.3,13.8,31.4
Swisher,7071,~,~,~,~,~
Parmer,9926,~,~,~,~,~
Newton,12690,~,~,~,~,~
Collin,1007962,194,19.2,21.0,18.0,24.3
Tyler,20096,~,~,~,~,~
Kleberg,31279,~,~,~,~,~
Denton,853441,163,19.1,20.9,17.6,24.5
Smith,228423,58,25.4,20.6,15.6,26.9
Guadalupe,165745,36,21.7,20.5,14.3,28.6
Bandera,20537,~,~,~,~,~
Montgomery,588777,119,20.2,20.4,16.8,24.5
Washington,35545,~,~,~,~,~
Cooke,40776,~,~,~,~,~
Kerr,52244,16,30.6,20.2,10.3,36.2
Falls,16960,~,~,~,~,~
Wood,44212,16,36.2,20.0,10.9,35.4
Mitchell,8847,~,~,~,~,~
Chambers,43210,~,~,~,~,~
Lamar,49849,~,~,~,~,~
Bexar,1970208,372,18.9,19.6,17.6,21.7
Travis,1242969,199,16.0,19.6,16.8,22.7
Van Zandt,57825,18,31.1,19.6,11.5,32.2
Leon,15845,~,~,~,~,~
Hardin,55606,~,~,~,~,~
Anderson,58226,~,~,~,~,~
Morris,11920,~,~,~,~,~
Henderson,80985,20,24.7,19.2,11.4,30.6
Harris,4673634,800,17.1,19.1,17.8,20.6
Dallas,2607623,450,17.3,19.0,17.3,20.9
Walker,76615,~,~,~,~,~
Grayson,131860,31,23.5,18.9,12.6,27.3
San Augustine,7985,~,~,~,~,~
Tarrant,2073591,362,17.5,18.8,16.9,20.9
Hays,224692,36,16.0,18.8,12.9,26.4
Rusk,52492,~,~,~,~,~
Johnson,172247,35,20.3,18.6,12.8,26.2
Hansford,5449,~,~,~,~,~
Randall,136837,28,20.5,18.6,12.3,27.2
Bosque,18321,~,~,~,~,~
Williamson,565253,101,17.9,18.5,15.0,22.6
Runnels,9835,~,~,~,~,~
Bell,357215,55,15.4,18.3,13.7,23.9
Marion,9747,~,~,~,~,~
Potter,120278,22,18.3,18.2,11.3,27.7
Aransas,23391,~,~,~,~,~
Hartley,5470,~,~,~,~,~
Caldwell,44701,~,~,~,~,~
Tom Green,118360,24,20.3,17.8,11.2,26.9
Gregg,123329,25,20.3,17.7,11.4,26.4
Brazos,227553,27,11.9,17.6,11.5,25.6
Kendall,42462,~,~,~,~,~
San Jacinto,27232,~,~,~,~,~
Lubbock,305288,51,16.7,17.3,12.8,22.9
Val Verde,47884,~,~,~,~,~
Parker,139220,28,20.1,17.2,11.3,25.3
Bastrop,91406,18,19.7,16.9, 9.7,27.4
Navarro,51244,~,~,~,~,~
Robertson,16905,~,~,~,~,~
Brazoria,363518,61,16.8,16.7,12.7,21.7
Fort Bend,780409,123,15.8,16.5,13.6,19.9
Cameron,418896,72,17.2,16.5,12.9,20.9
Wise,66539,~,~,~,~,~
Houston,22396,~,~,~,~,~
Knox,3381,~,~,~,~,~
Goliad,7070,~,~,~,~,~
Comanche,13423,~,~,~,~,~
Freestone,19443,~,~,~,~,~
Limestone,22280,~,~,~,~,~
Deaf Smith,18912,~,~,~,~,~
Galveston,342612,60,17.5,15.7,11.9,20.4
Hunt,96909,18,18.6,15.6, 9.1,25.0
Jefferson,257501,46,17.9,15.6,11.3,20.9
Hidalgo,858241,115,13.4,15.4,12.7,18.5
Donley,3278,~,~,~,~,~
El Paso,855704,120,14.0,15.0,12.4,18.0
Taylor,140791,21,14.9,14.9, 9.1,23.0
McCulloch,7733,~,~,~,~,~
Ector,160072,20,12.5,14.8, 8.9,23.0
Nueces,353916,60,16.9,14.5,11.0,18.8
Webb,266186,31,11.7,14.5, 9.8,20.6
Bowie,93364,~,~,~,~,~
Dawson,12141,~,~,~,~,~
Coke,3292,~,~,~,~,~
Jackson,14948,~,~,~,~,~
Grimes,28149,~,~,~,~,~
Red River,11813,~,~,~,~,~
Hopkins,36440,~,~,~,~,~
Jeff Davis,2064,~,~,~,~,~
Brooks,7156,~,~,~,~,~
Moore,21591,~,~,~,~,~
Mills,4547,~,~,~,~,~
Childress,6867,~,~,~,~,~
Gonzales,19709,~,~,~,~,~
Titus,31398,~,~,~,~,~
Panola,22492,~,~,~,~,~
Calhoun,20592,~,~,~,~,~
Coryell,79867,~,~,~,~,~
Medina,49801,~,~,~,~,~
Upshur,40280,~,~,~,~,~
Hale,33242,~,~,~,~,~
Cherokee,50364,~,~,~,~,~
Shelby,24444,~,~,~,~,~
Starr,65334,~,~,~,~,~
Colorado,20522,~,~,~,~,~
Harrison,68681,~,~,~,~,~
Lamb,13370,~,~,~,~,~
Nacogdoches,64869,~,~,~,~,~
Llano,21089,~,~,~,~,~
Brewster,9544,~,~,~,~,~
Mason,3941,~,~,~,~,~
Madison,13614,~,~,~,~,~
Wichita,129029,~,~,~,~,~
Wheeler,5146,~,~,~,~,~
Wharton,41477,~,~,~,~,~
Pecos,15201,~,~,~,~,~
Castro,7505,~,~,~,~,~
Carson,5904,~,~,~,~,~
Presidio,6396,~,~,~,~,~
Scurry,17069,~,~,~,~,~
Callahan,13722,~,~,~,~,~
Bee,31260,~,~,~,~,~
Atascosa,48230,~,~,~,~,~
Wilbarger,13017,~,~,~,~,~
Uvalde,24977,~,~,~,~,~
Duval,10047,~,~,~,~,~
Jasper,33771,~,~,~,~,~
Jack,8409,~,~,~,~,~
Refugio,6833,~,~,~,~,~
Fayette,24444,~,~,~,~,~
Camp,12495,~,~,~,~,~
Jim Wells,39484,~,~,~,~,~
Howard,34418,~,~,~,~,~
Ward,11390,~,~,~,~,~
Clay,10207,~,~,~,~,~
Young,17962,~,~,~,~,~
Franklin,10465,~,~,~,~,~
Gillespie,26527,~,~,~,~,~
Live Oak,11323,~,~,~,~,~
Coleman,7997,~,~,~,~,~
Jones,19639,~,~,~,~,~
Frio,18542,~,~,~,~,~
Lavaca,20203,~,~,~,~,~
Austin,30146,~,~,~,~,~
Milam,25014,~,~,~,~,~
Andrews,17869,0, 0.0, 0.0***, 0.0, 0.0
Glasscock,1091,0, 0.0, 0.0***, 0.0, 0.0
Armstrong,1873,0, 0.0, 0.0***, 0.0, 0.0
Garza,5869,0, 0.0, 0.0***, 0.0, 0.0
Kimble,4282,0, 0.0, 0.0***, 0.0, 0.0
Gaines,20625,0, 0.0, 0.0***, 0.0, 0.0
Baylor,3530,0, 0.0, 0.0***, 0.0, 0.0
Yoakum,7776,0, 0.0, 0.0***, 0.0, 0.0
Hamilton,8255,0, 0.0, 0.0***, 0.0, 0.0
Jim Hogg,4877,0, 0.0, 0.0***, 0.0, 0.0
Sherman,2877,0, 0.0, 0.0***, 0.0, 0.0
La Salle,6785,0, 0.0, 0.0***, 0.0, 0.0
Crane,4690,0, 0.0, 0.0***, 0.0, 0.0
Stephens,9232,0, 0.0, 0.0***, 0.0, 0.0
Real,2914,0, 0.0, 0.0***, 0.0, 0.0
Stonewall,1246,0, 0.0, 0.0***, 0.0, 0.0
Collingsworth,2717,0, 0.0, 0.0***, 0.0, 0.0
Concho,3123,0, 0.0, 0.0***, 0.0, 0.0
Nolan,14794,0, 0.0, 0.0***, 0.0, 0.0
Throckmorton,1470,0, 0.0, 0.0***, 0.0, 0.0
San Saba,5801,0, 0.0, 0.0***, 0.0, 0.0
Culberson,2186,0, 0.0, 0.0***, 0.0, 0.0
Dallam,7144,0, 0.0, 0.0***, 0.0, 0.0
Menard,2027,0, 0.0, 0.0***, 0.0, 0.0
Dickens,1808,0, 0.0, 0.0***, 0.0, 0.0
Dimmit,9067,0, 0.0, 0.0***, 0.0, 0.0
Upton,3352,0, 0.0, 0.0***, 0.0, 0.0
Lynn,5465,0, 0.0, 0.0***, 0.0, 0.0
Cottle,1364,0, 0.0, 0.0***, 0.0, 0.0
